(가구대표자용) 문15. 귀하는 통근이나 통학을 하십니까?,(가구대표자용) 문15-2. 귀하가 통근 또는 통학할 때 주로 이용하는 교통수단은 무엇입니까?,(가구대표자용) 문15-5. 귀하께서 통근·통학 시 가장 불편한 점은 무엇입니까?,(가구대표자용) 문16. 귀하는 평소 이동하실 때 주로 어떠한 교통수단을 이용하십니까?,(가구대표자용) 문17. 다음의 수원시 교통 수단이나 시설별로 관련 인프라가 얼마나 잘 구축되어 있다고 생각하십니까? - 1. 버스,(가구대표자용) 문17. 다음의 수원시 교통 수단이나 시설별로 관련 인프라가 얼마나 잘 구축되어 있다고 생각하십니까? - 2. 지하철,(가구대표자용) 문17. 다음의 수원시 교통 수단이나 시설별로 관련 인프라가 얼마나 잘 구축되어 있다고 생각하십니까? - 3. 택시,(가구대표자용) 문17. 다음의 수원시 교통 수단이나 시설별로 관련 인프라가 얼마나 잘 구축되어 있다고 생각하십니까? - 4. 시외버스/고속버스,(가구대표자용) 문17. 다음의 수원시 교통 수단이나 시설별로 관련 인프라가 얼마나 잘 구축되어 있다고 생각하십니까? - 5. 개인형 이동수단,(가구대표자용) 문17. 다음의 수원시 교통 수단이나 시설별로 관련 인프라가 얼마나 잘 구축되어 있다고 생각하십니까? - 6. 주차시설,(가구대표자용) 문18. 다음의 수원시 교통 수단이나 시설별로 얼마나 만족하십니까? - 1. 버스,(가구대표자용) 문18. 다음의 수원시 교통 수단이나 시설별로 얼마나 만족하십니까? - 2. 지하철,(가구대표자용) 문18. 다음의 수원시 교통 수단이나 시설별로 얼마나 만족하십니까? - 3. 택시,(가구대표자용) 문18. 다음의 수원시 교통 수단이나 시설별로 얼마나 만족하십니까? - 4. 시외버스/고속버스,(가구대표자용) 문18. 다음의 수원시 교통 수단이나 시설별로 얼마나 만족하십니까? - 5. 개인형 이동수단,(가구대표자용) 문18. 다음의 수원시 교통 수단이나 시설별로 얼마나 만족하십니까? - 6. 주차시설,(가구대표자용) 문19. 다음은 수원시 교통환경을 구체화한 내용입니다. 각 항목에 대해 얼마나 만족하십니까? - 1. 교통인프라 환경,(가구대표자용) 문19. 다음은 수원시 교통환경을 구체화한 내용입니다. 각 항목에 대해 얼마나 만족하십니까? - 2. 교통약자 이용 환경,(가구대표자용) 문15-4. 귀하의 통근·통학 환경에 대하여 전반적으로 만족하십니까?
1,자차(승용차),7.0,지하철,⑤,⑥,⑤,④ 보통,⑤,④ 보통,⑤,⑥,⑤,④ 보통,⑤,④ 보통,⑤,④ 보통,7.0
1,자차(승용차),5.0,자차(승용차),⑤,④ 보통,⑤,⑥,⑤,④ 보통,⑤,④ 보통,⑤,⑥,⑥,④ 보통,⑥,⑤,4.0
1,자차(승용차),5.0,자차(승용차),⑤,① 전혀 구축되어 있지 않다,⑤,③,④ 보통,②,④ 보통,②,④ 보통,③,④ 보통,②,④ 보통,④ 보통,4.0
1,자차(승용차),5.0,자차(승용차),⑥,⑥,⑦ 매우 잘 구축되어 있다,⑥,⑥,③,⑥,⑥,④ 보통,⑥,① 전혀 만족하지 않는다,③,⑤,④ 보통,6.0
1,자차(승용차),6.0,자차(승용차),⑥,⑤,⑥,⑤,⑤,⑤,⑥,⑤,⑥,⑥,⑥,⑤,⑥,④ 보통,6.0
1,도보 이동,7.0,"시내버스, 마을버스",④ 보통,⑤,④ 보통,⑤,③,②,④ 보통,④ 보통,④ 보통,③,②,②,⑤,④ 보통,6.0
1,자차(승용차),4.0,자차(승용차),⑤,⑦ 매우 잘 구축되어 있다,⑥,⑥,⑥,⑥,⑤,⑥,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,⑥,④ 보통,④ 보통,3.0
1,자차(승용차),5.0,자차(승용차),⑤,⑤,③,④ 보통,②,③,⑤,⑥,③,⑤,②,③,⑤,②,6.0
1,자차(승용차),5.0,자차(승용차),③,⑤,④ 보통,⑤,④ 보통,②,④ 보통,⑤,④ 보통,⑤,④ 보통,②,③,③,5.0
1,자차(승용차),4.0,자차(승용차),⑦ 매우 잘 구축되어 있다,⑤,④ 보통,④ 보통,⑤,④ 보통,⑤,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,⑤,④ 보통,3.0
1,"시내버스, 마을버스",4.0,"시내버스, 마을버스",⑤,②,③,⑤,②,③,②,②,④ 보통,③,②,③,③,③,2.0
1,자차(승용차),5.0,자차(승용차),④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,4.0
1,자차(승용차),5.0,자차(승용차),④ 보통,②,③,⑦ 매우 잘 구축되어 있다,③,③,④ 보통,③,④ 보통,⑥,③,④ 보통,④ 보통,⑤,6.0
1,도보 이동,5.0,도보 이동,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑥,④ 보통,④ 보통,7.0
3,,,자차(승용차),⑥,⑥,⑤,④ 보통,⑤,④ 보통,⑤,⑥,⑤,④ 보통,④ 보통,④ 보통,⑥,④ 보통,
1,지하철,1.0,지하철,③,③,③,③,③,③,③,③,③,③,③,③,③,③,3.0
1,자차(승용차),5.0,자차(승용차),⑤,④ 보통,⑥,④ 보통,③,③,⑤,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,⑤,④ 보통,5.0
1,자차(승용차),4.0,자차(승용차),②,④ 보통,②,③,① 전혀 구축되어 있지 않다,③,③,⑤,④ 보통,③,④ 보통,⑥,④ 보통,③,1.0
1,자차(승용차),3.0,자차(승용차),③,②,④ 보통,④ 보통,⑤,③,③,① 전혀 만족하지 않는다,④ 보통,④ 보통,④ 보통,②,②,③,2.0
3,,,자차(승용차),⑥,⑤,④ 보통,④ 보통,④ 보통,④ 보통,⑥,⑥,⑤,⑥,④ 보통,④ 보통,⑥,⑤,
1,자차(승용차),5.0,자차(승용차),⑤,⑤,④ 보통,③,⑤,④ 보통,⑤,⑤,④ 보통,②,⑤,④ 보통,⑥,④ 보통,2.0
3,,,자차(승용차),⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑥,⑦ 매우 만족한다,⑦ 매우 만족한다,⑥,⑦ 매우 만족한다,⑥,⑥,⑥,⑤,
3,,,자차(승용차),③,④ 보통,③,④ 보통,④ 보통,③,④ 보통,③,③,④ 보통,③,④ 보통,④ 보통,③,
1,자차(승용차),1.0,자차(승용차),⑤,④ 보통,②,③,④ 보통,③,⑤,④ 보통,④ 보통,⑤,④ 보통,④ 보통,⑤,④ 보통,7.0
1,자차(승용차),5.0,자차(승용차),⑤,⑦ 매우 잘 구축되어 있다,④ 보통,⑥,⑤,③,⑥,⑥,⑥,⑥,⑥,③,⑤,⑤,4.0
1,자차(승용차),5.0,자차(승용차),④ 보통,②,⑤,④ 보통,⑥,④ 보통,③,① 전혀 만족하지 않는다,⑤,④ 보통,⑤,④ 보통,③,⑤,3.0
1,도보 이동,7.0,자차(승용차),③,②,③,②,④ 보통,① 전혀 구축되어 있지 않다,②,②,②,②,① 전혀 만족하지 않는다,① 전혀 만족하지 않는다,④ 보통,① 전혀 만족하지 않는다,4.0
1,자차(승용차),1.0,자차(승용차),④ 보통,②,⑤,④ 보통,④ 보통,④ 보통,④ 보통,⑤,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,4.0
1,자차(승용차),1.0,자차(승용차),⑤,⑤,⑤,⑤,⑤,③,⑤,⑤,⑤,⑤,⑤,②,⑤,④ 보통,5.0
1,지하철,4.0,지하철,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,③,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,③,④ 보통,④ 보통,2.0
1,자전거(무동력),8.0,자전거(무동력),⑥,⑤,④ 보통,⑥,⑤,⑥,⑥,⑤,④ 보통,⑥,⑤,⑥,⑤,④ 보통,6.0
3,,,자차(승용차),④ 보통,④ 보통,④ 보통,④ 보통,⑤,⑤,④ 보통,④ 보통,④ 보통,④ 보통,⑤,⑤,⑥,④ 보통,
1,자차(승용차),3.0,자차(승용차),③,④ 보통,⑥,⑤,④ 보통,⑦ 매우 잘 구축되어 있다,②,④ 보통,⑤,⑥,⑦ 매우 만족한다,④ 보통,③,③,3.0
3,,,자차(승용차),⑤,⑥,⑤,⑥,④ 보통,③,⑤,⑤,⑤,⑤,④ 보통,④ 보통,⑥,④ 보통,
1,지하철,2.0,지하철,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑦ 매우 만족한다,⑥,⑥,⑦ 매우 만족한다,④ 보통,5.0
1,지하철,2.0,자차(승용차),④ 보통,⑥,④ 보통,⑤,④ 보통,④ 보통,④ 보통,⑦ 매우 만족한다,④ 보통,⑤,④ 보통,④ 보통,⑤,④ 보통,4.0
1,자차(승용차),7.0,자차(승용차),⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,④ 보통,⑥,⑤,④ 보통,⑥,⑥,④ 보통,⑤,⑥,④ 보통,⑥,⑤,7.0
1,자차(승용차),5.0,자차(승용차),⑤,④ 보통,③,⑤,④ 보통,④ 보통,⑤,⑤,③,⑤,① 전혀 만족하지 않는다,④ 보통,⑤,④ 보통,5.0
1,지하철,4.0,지하철,⑦ 매우 잘 구축되어 있다,⑥,⑤,⑥,⑥,⑥,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,⑤,⑥,⑥,6.0
1,자차(승용차),2.0,도보 이동,⑤,⑤,⑤,⑤,④ 보통,③,⑤,⑤,⑤,⑤,① 전혀 만족하지 않는다,②,⑤,④ 보통,4.0
1,"시내버스, 마을버스",5.0,택시,④ 보통,⑥,⑥,③,⑤,④ 보통,④ 보통,⑥,⑤,③,④ 보통,④ 보통,⑥,④ 보통,4.0
3,,,자차(승용차),⑥,⑥,⑥,⑥,⑥,⑤,⑥,⑥,⑤,⑤,④ 보통,⑤,⑥,④ 보통,
3,,,자차(승용차),③,③,④ 보통,④ 보통,④ 보통,②,③,③,④ 보통,④ 보통,④ 보통,③,③,③,
1,자차(승용차),5.0,도보 이동,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑤,⑤,⑥,⑤,⑦ 매우 만족한다,④ 보통,④ 보통,④ 보통,③,④ 보통,⑦ 매우 만족한다,③,5.0
1,도보 이동,7.0,자전거(무동력),⑦ 매우 잘 구축되어 있다,⑤,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,④ 보통,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,① 전혀 만족하지 않는다,⑦ 매우 만족한다,⑦ 매우 만족한다,7.0
3,,,자전거(무동력),⑤,⑤,④ 보통,⑥,⑤,③,④ 보통,⑥,④ 보통,⑥,④ 보통,③,③,④ 보통,
1,자차(승용차),4.0,자차(승용차),⑥,⑥,⑥,⑥,⑥,④ 보통,⑥,⑥,⑥,⑤,⑤,④ 보통,⑤,④ 보통,4.0
1,자차(승용차),4.0,지하철,⑤,⑥,④ 보통,③,④ 보통,③,⑤,⑥,②,⑤,⑤,④ 보통,⑥,⑤,5.0
1,지하철,6.0,"시내버스, 마을버스",④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,⑤,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,5.0
1,자차(승용차),5.0,자차(승용차),⑥,⑦ 매우 잘 구축되어 있다,⑥,⑥,⑥,④ 보통,⑦ 매우 만족한다,⑦ 매우 만족한다,⑥,⑥,⑥,④ 보통,⑥,⑥,5.0
1,자차(승용차),5.0,자차(승용차),⑤,④ 보통,④ 보통,⑤,④ 보통,⑤,⑤,⑤,④ 보통,⑤,④ 보통,⑤,④ 보통,③,3.0
1,"시내버스, 마을버스",1.0,"시내버스, 마을버스",⑥,⑤,⑤,⑥,⑤,④ 보통,⑤,④ 보통,④ 보통,⑤,④ 보통,③,⑥,④ 보통,6.0
1,지하철,1.0,지하철,④ 보통,⑥,⑤,⑤,⑤,⑤,⑤,⑤,⑥,⑥,⑤,⑤,⑤,⑤,4.0
1,자차(승용차),1.0,자차(승용차),④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,③,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,③,④ 보통,④ 보통,4.0
1,도보 이동,9.0,"시내버스, 마을버스",⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑤,④ 보통,6.0
3,,,"시내버스, 마을버스",⑥,④ 보통,④ 보통,⑥,⑤,④ 보통,⑥,④ 보통,④ 보통,⑥,⑤,④ 보통,⑤,⑤,
1,지하철,9.0,지하철,④ 보통,②,④ 보통,④ 보통,②,③,③,③,④ 보통,④ 보통,① 전혀 만족하지 않는다,③,④ 보통,④ 보통,1.0
1,자차(승용차),5.0,자차(승용차),④ 보통,③,③,⑤,②,⑤,⑤,⑤,③,④ 보통,③,③,⑤,④ 보통,5.0
1,자차(승용차),1.0,자차(승용차),① 전혀 구축되어 있지 않다,① 전혀 구축되어 있지 않다,① 전혀 구축되어 있지 않다,① 전혀 구축되어 있지 않다,① 전혀 구축되어 있지 않다,① 전혀 구축되어 있지 않다,① 전혀 만족하지 않는다,① 전혀 만족하지 않는다,① 전혀 만족하지 않는다,① 전혀 만족하지 않는다,① 전혀 만족하지 않는다,① 전혀 만족하지 않는다,① 전혀 만족하지 않는다,④ 보통,1.0
1,지하철,1.0,지하철,③,③,③,③,③,③,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,1.0
1,자차(승용차),1.0,자차(승용차),⑥,⑥,⑥,⑤,⑥,④ 보통,⑤,⑥,⑤,④ 보통,⑥,③,⑥,③,2.0
1,자차(승용차),1.0,자차(승용차),⑤,⑥,⑤,⑤,⑤,④ 보통,⑤,⑥,⑤,⑥,⑥,③,⑥,⑤,7.0
1,자차(승용차),5.0,자차(승용차),③,②,④ 보통,⑤,⑥,③,③,③,④ 보통,⑤,④ 보통,③,④ 보통,⑤,3.0
1,자차(승용차),1.0,지하철,⑥,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑤,⑥,③,⑤,⑦ 매우 만족한다,⑥,⑤,⑤,②,④ 보통,③,5.0
1,"시내버스, 마을버스",5.0,"시내버스, 마을버스",④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,③,④ 보통,④ 보통,③,④ 보통,④ 보통,③,④ 보통,④ 보통,3.0
1,지하철,2.0,"시내버스, 마을버스",⑦ 매우 잘 구축되어 있다,⑤,⑤,⑦ 매우 잘 구축되어 있다,④ 보통,④ 보통,⑦ 매우 만족한다,⑦ 매우 만족한다,④ 보통,⑦ 매우 만족한다,④ 보통,④ 보통,⑦ 매우 만족한다,⑦ 매우 만족한다,1.0
1,지하철,4.0,지하철,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,⑤,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,⑤,④ 보통,2.0
3,,,"시내버스, 마을버스",③,②,⑥,④ 보통,① 전혀 구축되어 있지 않다,③,③,① 전혀 만족하지 않는다,⑦ 매우 만족한다,④ 보통,① 전혀 만족하지 않는다,②,④ 보통,④ 보통,
3,,,자차(승용차),③,③,④ 보통,④ 보통,⑤,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,
1,자차(승용차),5.0,자차(승용차),④ 보통,④ 보통,④ 보통,④ 보통,⑤,④ 보통,⑤,④ 보통,④ 보통,④ 보통,⑤,④ 보통,④ 보통,④ 보통,5.0
1,지하철,1.0,지하철,④ 보통,⑦ 매우 잘 구축되어 있다,⑥,⑥,⑤,③,④ 보통,⑥,⑥,⑦ 매우 만족한다,⑥,③,④ 보통,④ 보통,3.0
1,자차(승용차),1.0,자차(승용차),⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,④ 보통,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,④ 보통,7.0
1,도보 이동,10.0,"시내버스, 마을버스",⑤,⑥,⑥,⑥,⑥,⑤,⑤,⑥,⑤,⑥,⑤,④ 보통,⑤,④ 보통,7.0
1,도보 이동,5.0,자차(승용차),⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑥,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,7.0
3,,,자차(승용차),⑤,⑤,⑤,⑤,⑤,③,⑤,⑥,⑤,⑥,⑤,③,⑤,④ 보통,
1,지하철,2.0,지하철,⑤,⑤,④ 보통,⑤,④ 보통,③,⑤,⑤,④ 보통,⑤,④ 보통,③,⑤,③,4.0
1,자차(승용차),1.0,자차(승용차),②,③,⑤,⑥,④ 보통,④ 보통,②,④ 보통,⑤,⑥,④ 보통,⑤,④ 보통,⑤,2.0
1,"시내버스, 마을버스",1.0,"시내버스, 마을버스",⑤,⑥,⑤,⑥,⑥,④ 보통,③,⑥,⑤,⑤,⑤,③,⑥,⑤,3.0
1,지하철,3.0,"시내버스, 마을버스",⑦ 매우 잘 구축되어 있다,⑥,⑤,⑤,⑤,⑤,④ 보통,⑥,③,⑥,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,3.0
3,,,지하철,⑥,⑦ 매우 잘 구축되어 있다,⑥,⑥,⑥,⑥,⑥,⑦ 매우 만족한다,⑥,⑥,⑥,⑥,⑥,④ 보통,
1,지하철,1.0,지하철,②,④ 보통,④ 보통,④ 보통,③,④ 보통,②,②,②,④ 보통,②,②,②,②,1.0
1,자차(승용차),5.0,자차(승용차),⑤,④ 보통,③,④ 보통,⑤,③,⑤,④ 보통,③,④ 보통,⑤,③,⑤,④ 보통,4.0
1,자차(승용차),5.0,자차(승용차),⑥,④ 보통,⑥,⑤,⑤,④ 보통,⑥,⑥,⑥,⑥,⑥,④ 보통,⑦ 매우 만족한다,⑥,4.0
1,자차(승용차),5.0,자차(승용차),⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑥,⑤,⑥,④ 보통,⑥,⑥,⑤,⑥,④ 보통,① 전혀 만족하지 않는다,⑥,⑤,7.0
1,"시내버스, 마을버스",6.0,"시내버스, 마을버스",⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,③,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,⑦ 매우 만족한다,③,⑦ 매우 만족한다,⑦ 매우 만족한다,7.0
3,,,자차(승용차),⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑥,⑦ 매우 잘 구축되어 있다,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑥,⑦ 매우 만족한다,
1,자차(승용차),4.0,자차(승용차),⑤,⑤,⑥,④ 보통,⑥,⑥,⑥,⑥,⑥,⑤,⑥,⑥,⑦ 매우 만족한다,⑤,4.0
1,자차(승용차),5.0,자차(승용차),③,②,④ 보통,⑥,④ 보통,④ 보통,⑤,③,④ 보통,⑥,⑤,④ 보통,④ 보통,③,3.0
1,지하철,2.0,지하철,⑦ 매우 잘 구축되어 있다,②,⑦ 매우 잘 구축되어 있다,⑤,④ 보통,⑥,⑥,②,⑦ 매우 만족한다,⑤,④ 보통,⑥,③,③,6.0
1,"시내버스, 마을버스",1.0,"시내버스, 마을버스",②,① 전혀 구축되어 있지 않다,④ 보통,④ 보통,⑤,④ 보통,③,③,③,③,③,③,②,②,1.0
3,,,자차(승용차),⑥,⑥,⑥,⑥,④ 보통,④ 보통,⑥,⑥,⑤,⑥,④ 보통,④ 보통,⑥,④ 보통,
3,,,지하철,③,⑤,④ 보통,⑤,③,⑤,③,⑥,④ 보통,④ 보통,③,④ 보통,③,④ 보통,
1,자차(승용차),5.0,자차(승용차),②,① 전혀 구축되어 있지 않다,②,②,④ 보통,① 전혀 구축되어 있지 않다,① 전혀 만족하지 않는다,① 전혀 만족하지 않는다,① 전혀 만족하지 않는다,① 전혀 만족하지 않는다,① 전혀 만족하지 않는다,① 전혀 만족하지 않는다,① 전혀 만족하지 않는다,① 전혀 만족하지 않는다,1.0
1,"시내버스, 마을버스",1.0,"시내버스, 마을버스",⑥,⑤,⑤,⑤,⑤,④ 보통,⑤,⑤,⑤,⑤,④ 보통,④ 보통,④ 보통,④ 보통,4.0
3,,,자차(승용차),⑤,⑤,⑤,⑤,⑤,⑤,⑤,⑤,⑤,⑤,⑤,⑤,⑤,⑤,
1,자차(승용차),10.0,자차(승용차),⑥,⑥,⑥,⑥,⑥,④ 보통,⑥,⑥,⑥,⑥,⑥,④ 보통,⑥,⑥,6.0
1,자차(승용차),5.0,자차(승용차),⑥,⑥,⑤,⑥,⑥,③,⑥,⑥,②,⑤,③,③,⑤,⑤,3.0
1,자차(승용차),5.0,지하철,⑥,⑦ 매우 잘 구축되어 있다,⑥,⑤,⑥,③,⑥,⑥,⑥,⑥,⑥,②,⑦ 매우 만족한다,⑥,4.0
3,,,"시내버스, 마을버스",⑤,⑤,⑤,⑤,⑤,②,⑤,⑤,⑤,⑤,⑤,②,⑤,③,
1,"시내버스, 마을버스",2.0,"시내버스, 마을버스",③,④ 보통,③,④ 보통,④ 보통,③,④ 보통,③,④ 보통,④ 보통,④ 보통,③,④ 보통,③,3.0
3,,,자차(승용차),④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,④ 보통,
3,,,자차(승용차),③,④ 보통,④ 보통,④ 보통,④ 보통,②,④ 보통,③,④ 보통,④ 보통,④ 보통,②,④ 보통,④ 보통,
3,,,"시내버스, 마을버스",⑦ 매우 잘 구축되어 있다,⑥,⑤,⑦ 매우 잘 구축되어 있다,⑦ 매우 잘 구축되어 있다,⑤,⑦ 매우 만족한다,⑦ 매우 만족한다,⑤,⑦ 매우 만족한다,⑦ 매우 만족한다,⑤,⑥,③,
1,지하철,6.0,지하철,⑤,⑤,④ 보통,⑤,⑤,④ 보통,⑤,⑤,④ 보통,⑤,⑤,④ 보통,⑥,⑤,4.0
